"nest.s.success","mean.chipmunk.detections","mean.seedling.density","treatment","plotname"
"Failure",7.67,25.58,"Control","2012_2C"
"Failure",7.67,25.58,"Control","2012_2C"
"Failure",7.67,25.58,"Control","2012_2C"
"Failure",7.67,25.58,"Control","2012_2C"
"Failure",7.67,25.58,"Control","2012_2C"
"Success",46.17,49.24,"Control","2012_1C"
"Failure",46.17,49.24,"Control","2012_1C"
"Failure",46.17,49.24,"Control","2012_1C"
"Failure",9.5,10.24,"Treated","2012_2T"
"Failure",9.5,10.24,"Treated","2012_2T"
"Success",9.5,10.24,"Treated","2012_2T"
"Failure",9.5,10.24,"Treated","2012_2T"
"Success",9.5,10.24,"Treated","2012_2T"
"Success",28.33,6.4,"Treated","2012_1T"
"Success",7.6,0.02,"Treated","2013_1T"
"Success",10.2,0.3,"Control","2013_1C"
"Failure",10.2,0.3,"Control","2013_1C"
"Success",1.8,0.14,"Treated","2013_2T"
"Failure",1.8,0.14,"Treated","2013_2T"
"Success",7.67,25.58,"Control","2013_2C"
"Success",3.17,3.82,"Treated","2014_2T"
"Failure",3.17,3.82,"Treated","2014_2T"
"Failure",3.17,3.82,"Treated","2014_2T"
"Success",24.17,3.82,"Treated","2014_1T"
"Success",24.17,3.82,"Treated","2014_1T"
"Failure",24.17,3.82,"Treated","2014_1T"
"Success",2.83,3.82,"Control","2014_2C"
"Failure",2.83,16.2,"Control","2014_2C"
"Success",2.83,16.2,"Control","2014_2C"
"Failure",27.83,17.06,"Control","2014_1C"
"Failure",27.83,17.06,"Control","2014_1C"
"Failure",27.83,17.06,"Control","2014_1C"
"Success",27.83,17.06,"Control","2014_1C"
"Success",3.17,3.27,"Control","2015_2C"
"Success",3.17,3.27,"Control","2015_2C"
"Success",3.17,3.27,"Control","2015_2C"
"Success",3.17,3.27,"Control","2015_2C"
"Success",3.17,3.27,"Control","2015_2C"
"Success",4.17,2.08,"Treated","2015_2T"
"Success",4.17,2.08,"Treated","2015_2T"
"Success",4.17,2.08,"Treated","2015_2T"
"Failure",14.33,5.2,"Control","2015_1C"
"Success",14.33,5.2,"Control","2015_1C"
"Success",14.33,5.2,"Control","2015_1C"
"Success",14.33,5.2,"Control","2015_1C"
"Failure",14.33,5.2,"Control","2015_1C"
"Failure",14.33,5.2,"Control","2015_1C"
"Failure",14.33,5.2,"Control","2015_1C"
"Success",12,1.7,"Treated","2015_1T"
"Success",12,1.7,"Treated","2015_1T"
"Success",12,1.7,"Treated","2015_1T"
"Failure",12,1.7,"Treated","2015_1T"
"Failure",12,1.7,"Treated","2015_1T"
